2.0036e+05,0,15,2,14,1,12,3,23,18,15,11,3,2,15,18,12,8,15,9,8
73100,0,3,15,14,2,8,15,9,18,8,1,13,8,1,12,3,27,26,23,18
1.3456e+05,0,12,3,28,23,21,2,3,15,14,2,13,18,1,12,3,26,18,11,3
1.6606e+05,0,3,15,12,15,18,3,15,3,15,2,14,13,12,3,27,26,10,18,15
23868,0,38,9,6,9,3,3,25,2,25,3,3,12,9,9,3,12,9,12,17
2.0531e+05,0,64,18,15,3,9,12,12,9,12,12,9,3,21,9,12,3,12,3,9
1.0038e+05,0,36,3,14,15,13,12,3,26,23,8,9,8,15,1,8,8,9,15,8
58368,1,12,3,6,3,3,9,25,25,6,3,2,3,32,25,25,9,3,6,3
63733,0,3,15,18,12,3,9,12,3,15,9,2,14,12,3,2,2,2,2,2
1.3438e+05,1,8,1,8,9,15,8,8,9,8,15,1,8,3,12,9,9,12,3,14
1.2534e+05,0,12,3,103,64,12,18,12,18,15,12,18,15,18,18,18,18,18,18,12
1.4355e+05,0,18,64,12,6,3,12,9,12,9,3,12,9,3,3,21,9,2,2,12
78728,0,15,3,2,14,18,12,3,28,23,10,18,9,15,11,3,14,12,64,15
25172,0,9,12,18,15,64,15,12,18,15,18,12,12,18,15,12,18,12,15,18
12452,0,13,18,12,12,3,3,12,64,12,9,6,9,23,3,10,18,12,15,19
1.3058e+05,0,64,15,3,2,14,18,1,12,3,26,23,18,15,17,11,2,3,14,18
1.6114e+05,1,9,9,12,9,3,9,3,12,9,12,26,12,15,18,12,15,18,21,18
1.4226e+05,0,12,14,3,2,15,1,3,26,13,23,12,18,2,14,3,64,3,15,2
1.7578e+05,0,3,15,15,2,2,14,14,18,1,1,1,12,12,3,23,10,22,18,18
1.661e+05,1,9,12,9,3,12,3,12,9,3,9,9,12,9,3,21,3,12,9,3
6705,0,24,20,64,12,12,12,12,9,3,25,25,3,6,6,3,25,9,25,3
59735,0,9,1,12,9,9,8,1,15,8,8,9,8,15,8,1,8,8,15,8
1.8901e+05,0,21,3,14,15,9,12,2,2,2,12,9,2,2,2,2,2,15,3,15
60901,0,15,21,9,12,2,9,3,14,15,2,1,12,3,27,26,2,9,24,20
71483,0,150,12,6,3,15,14,3,2,6,1,12,3,9,15,12,23,6,18,15
1.0271e+05,0,9,3,12,12,9,19,12,3,9,9,12,9,3,21,12,9,12,3,12
24768,0,9,12,17,15,3,2,14,13,12,3,27,23,12,3,18,9,15,11,9
1.4323e+05,0,21,13,64,6,15,2,14,13,12,3,27,23,18,15,11,3,3,15,14
1.5451e+05,0,13,12,9,1,18,9,12,3,12,9,2,2,2,2,2,2,2,2,2
1.5024e+05,0,3,14,2,15,13,1,12,3,27,26,23,18,15,11,2,3,3,2,15
26876,1,15,3,2,14,13,12,3,27,18,23,12,3,18,15,12,18,12,15,18
9541,0,3,15,2,2,15,3,3,15,12,15,18,9,21,14,15,9,15,18,12
18281,0,9,12,13,18,18,13,12,12,12,3,3,26,27,3,15,12,3,12,3
1.0964e+05,0,12,18,12,9,6,64,3,18,12,2,9,9,3,15,2,14,13,1,12
1.2687e+05,0,8,9,8,15,8,1,8,9,8,15,1,8,3,15,2,14,18,8,15
1.2113e+05,0,24,20,8,9,15,8,1,8,9,14,2,2,9,3,15,24,20,9,20
1.0319e+05,0,9,8,15,8,8,1,8,15,9,8,1,8,21,64,3,9,12,2,9
685,0,12,13,15,9,1,9,9,12,9,3,12,3,9,3,12,9,64,12,3
1.0898e+05,1,18,12,15,12,64,18,15,12,3,14,2,13,18,24,20,15,12,3,18
1.5031e+05,0,24,20,20,24,9,12,20,24,20,24,12,3,24,20,24,20,12,9,2
14913,0,12,9,12,12,9,9,8,1,9,24,20,12,12,15,32,12,12,9,12
33168,0,12,17,12,64,12,17,9,12,12,9,15,1,9,8,14,9,13,64,6
1.6983e+05,1,15,3,3,9,12,9,12,12,2,12,9,9,12,15,3,112,12,9,13
98158,0,12,15,18,18,12,15,6,13,64,3,15,13,14,15,2,18,13,12,3
50218,1,3,15,2,14,13,3,27,26,23,9,10,18,9,15,11,3,2,14,3
2.0716e+05,0,14,3,15,2,1,12,3,23,18,15,3,2,14,3,14,15,2,18,13
46663,0,2,14,18,1,12,3,27,22,18,9,15,11,3,14,2,15,3,2,14
1.3261e+05,0,21,3,14,3,9,12,9,12,12,9,9,12,12,3,15,12,18,18,12
1.6595e+05,1,2,3,14,15,2,13,1,12,3,27,26,23,18,15,11,3,14,3,2
89159,0,9,12,13,9,9,3,17,12,64,12,3,12,9,15,12,18,3,9,15
1.1094e+05,0,18,12,9,12,9,18,19,12,9,6,3,3,3,25,25,9,12,3,9
18446,0,3,12,12,9,9,64,6,18,18,18,2,12,3,15,3,2,14,18,18
69635,0,82,12,6,3,9,2,3,25,25,6,25,25,3,9,3,3,21,2,21
1.7879e+05,0,12,9,9,3,18,24,12,3,15,2,14,15,20,24,15,12,18,9,19
1.7422e+05,0,24,20,24,20,20,24,20,24,24,20,15,21,14,9,2,12,9,2,9
1.7731e+05,0,12,18,64,12,12,3,15,2,2,2,2,14,2,15,12,3,27,26,2
82893,1,18,12,15,14,2,18,13,12,3,18,9,11,9,8,15,8,1,8,15
89475,1,18,12,3,20,15,11,3,2,14,9,12,9,3,15,3,12,3,9,12
1.1559e+05,0,9,2,2,2,2,2,2,2,2,2,2,2,2,32,2,2,2,2,2
75463,1,9,2,12,9,8,9,8,15,8,1,9,8,1,15,8,9,8,150,2
