1,2.3437e+05,0.10667,0.33667,0.30167,0.11667,0.11,0.11833,0.11667,0.125,0.1,0.098333,0.098333,1,1,0.4,0.125,1,0.10667,1,0.67167
3,7.5099e+06,0.1,0.093333,1.0817,0.13167,0.093333,0.096667,0.1,0.098333,0.22833,0.105,0.09,0.093333,0.105,0.115,0.15667,0.295,0.10167,0.11,0.155
4,7.6671e+06,0.16,0.098333,0.80167,0.105,0.086667,0.925,0.096667,0.14333,0.18,0.098333,0.79667,0.11,0.10833,0.095,0.11833,0.13667,0.10167,0.14167,0.17
5,2.8315e+06,0.175,0.23833,0.096667,0.098333,0.145,0.098333,0.105,0.845,0.093333,0.1,0.10667,0.10333,0.095,1,1,0.10333,0.095,1,0.165
6,3.9412e+06,1,0.05,0.045833,0.115,0.0775,0.7925,0.061667,0.10667,0.058333,0.43417,0.053333,0.070833,0.05,0.0525,1,1,0.06,0.046667,0.05
7,1.1356e+06,1,1,0.17667,1,0.10167,1,0.96333,0.175,1,0.17167,0.10167,1,0.265,0.13667,0.09,1,0.84333,1,0.195
8,2.4806e+07,0.11167,0.88667,0.135,0.25833,0.093333,1.14,0.14167,1.475,0.46333,0.34833,1,0.098333,0.11167,1,0.091667,1,1,0.105,0.10667
9,3.5849e+05,0.054167,0.046667,0.063333,0.073333,0.055833,0.050833,1,1,1,0.05,0.071667,0.89417,0.045833,0.21417,0.053333,0.046667,0.88583,0.081667,0.98583
11,7.2224e+05,0.32417,0.11917,0.12417,0.085,0.051667,1,0.40417,1,0.0475,1.0617,0.26833,0.1025,0.44417,0.048333,0.049167,0.12333,0.105,0.05,0.081667
12,5.8211e+06,0.050833,0.27667,0.77417,1,0.06,0.049167,0.0475,0.046667,0.11917,0.21083,0.048333,1.1283,0.12083,0.054167,0.055,0.045833,0.046667,0.079167,0.0475
13,2.6469e+05,1.4008,0.0475,0.049167,0.044167,0.37917,0.12583,0.055833,0.10917,0.048333,0.0625,0.12083,0.064167,0.044167,0.1175,0.054167,0.13,0.045833,1,0.08
14,1.5068e+06,0.38833,1,0.91167,0.086667,0.17167,0.12167,0.14,1.3433,0.09,0.11167,0.16,0.145,0.15167,0.15167,1,1.395,0.13333,0.093333,1
15,4.9851e+06,0.033333,0.11167,1,0.036667,1,0.10667,1,0.07,0.032778,0.034444,0.036667,0.73833,0.031667,1,0.24722,1,1,0.033333,0.084444
16,1.5366e+06,0.09,0.09,0.10333,0.11333,0.095,1,0.13167,0.14833,0.12167,0.14833,0.10167,0.76333,0.37333,0.1,0.125,0.095,0.71,0.10167,0.098333
17,7.7376e+05,0.096667,1,0.10333,0.59333,1,0.10667,0.11833,0.096667,0.375,0.10333,1,1,0.091667,0.098333,0.12,0.12,0.096667,0.093333,0.095
18,3.0635e+06,0.027917,0.035417,0.02375,0.034167,0.02375,0.024167,0.025,0.07125,0.02625,0.024583,0.081667,0.035833,0.02125,1,0.028333,0.026667,0.024583,0.05125,0.023333
19,1.5234e+06,0.0475,0.21833,0.054167,0.23417,1,0.18083,0.048333,0.2725,0.26167,0.048333,0.044167,1.0758,0.048333,0.50583,1,0.045,0.15,0.61333,1.0817
20,1.3692e+06,0.09,0.1,0.38167,0.10167,0.10167,0.10667,1.0533,0.1,0.1,0.13,1,0.095,1,1,1,0.19833,0.096667,0.26333,0.11333
21,1.365e+07,1,0.48167,0.12333,0.22833,0.098333,0.098333,0.19,1,1,0.27,1,0.99833,0.093333,0.15667,0.16667,0.093333,0.10167,1,0.49
22,1.7995e+06,0.093333,0.17333,0.10333,0.105,0.096667,1.2783,0.22833,0.15667,0.13167,0.27833,0.15,0.11333,1,0.12333,1,0.098333,0.73833,0.096667,1
24,2.5973e+06,0.78333,1,0.47167,0.74333,0.77833,0.10667,1,0.105,0.42667,0.85167,1,1,0.11667,0.25667,0.11,0.29333,0.19,0.47667,1
26,2.6987e+06,1,0.205,0.098333,0.14,0.665,0.1,0.27833,0.14333,0.095,0.098333,0.225,0.1,0.195,1,0.10167,0.13167,0.12167,0.37667,0.155
27,4.0104e+06,0.21333,1,0.38,1,0.096667,1,0.096667,0.1,0.10167,0.10167,0.093333,1,0.17333,0.18833,0.095,0.105,0.25,0.1,0.096667
28,5.4664e+06,0.31167,1,0.94083,0.265,0.0475,0.053333,1,0.08,0.050833,0.056667,0.054167,0.15167,0.054167,0.28167,0.16583,1,0.1975,0.10833,0.06
29,2.7226e+05,0.30083,0.20417,0.085,0.07,0.046667,0.045833,0.049167,0.05,0.074167,0.13417,0.089167,0.046667,0.05,0.085833,1.2833,0.17083,0.0525,0.1175,0.055833
30,1.8967e+06,0.10833,0.10167,0.095,0.47833,0.11,0.095,0.098333,0.125,0.17667,0.10833,1,0.095,1,0.088333,0.11167,0.098333,0.175,0.89333,0.096667
31,5.2566e+05,0.091667,0.19333,0.098333,0.32,0.18833,1,1,1.15,1,0.11167,0.13667,1.0067,0.098333,1,0.10667,0.11167,0.13333,0.69333,0.093333
32,1.0628e+06,0.046667,0.088333,0.060833,0.064167,0.046667,0.069167,0.05,0.048333,0.053333,0.049167,0.071667,0.048333,0.1575,0.048333,0.074167,0.08,0.061667,0.050833,0.045
33,6.2429e+05,0.098333,0.18,0.09,0.175,0.11667,1,0.27833,0.096667,0.12167,0.19667,0.13167,1,0.13667,0.10333,0.125,0.10167,0.165,0.26,0.29667
34,7.1665e+05,0.14,0.11167,0.098333,0.105,0.098333,0.155,0.28333,1,0.1,0.54333,1,0.21833,0.098333,0.13167,0.1,0.135,0.093333,0.21833,0.11
36,1.6656e+06,0.105,0.096667,0.105,1,0.13833,0.56833,0.20667,0.10333,0.51333,0.135,0.093333,0.1,0.098333,0.255,1,1,0.2,0.095,0.098333
37,8.3605e+05,0.105,0.055833,0.049167,0.053333,0.19167,0.05,0.045,0.049167,0.05,0.05,1,1,0.075833,0.57417,0.49,0.33833,0.045833,0.0475,1
38,1.1341e+06,0.13833,0.1,0.1,0.1,1,0.095,0.093333,0.10667,0.10667,0.098333,0.098333,0.21167,1,0.093333,0.095,0.10833,0.093333,0.10167,1
39,1.1093e+06,0.088333,0.38833,1,0.095,0.095,1,0.095,1,0.098333,0.09,1,0.10333,0.11333,0.098333,0.10667,0.12333,1,1,0.11833
41,2.5561e+06,0.25583,0.048333,0.0575,0.095,0.048333,0.0475,1,0.0525,0.36917,1,0.12167,0.105,0.10083,0.055833,0.053333,0.046667,0.048333,1,0.055
43,8.0495e+06,0.15667,0.86833,0.095,0.093333,0.10667,0.12333,0.098333,0.85833,0.115,0.13,0.10167,0.19,0.098333,1,1,0.15,0.1,0.68667,0.10167
45,2.0884e+06,0.1,0.11833,0.10833,0.11833,0.115,0.095,0.11167,1,0.10333,0.10667,0.51667,1,0.09,0.11167,0.095,1,0.125,0.1,0.10167
